Date,Away,Home,RA,RH
3/25,NYY,SFG,7,0
3/26,PIT,NYM,7,11
3/26,CHW,MIL,2,14
3/26,WSN,CHC,10,4
3/26,MIN,BAL,1,2
3/26,BOS,CIN,3,0
3/26,LAA,HOU,3,0
3/26,DET,SDP,8,2
3/26,TBR,STL,7,9
3/26,TEX,PHI,3,5
3/26,ARI,LAD,2,8
3/26,CLE,SEA,6,4
3/27,NYY,SFG,3,0
3/27,ATH,TOR,2,3
3/27,COL,MIA,1,2
3/27,KCR,ATL,0,6
3/27,LAA,HOU,6,2
3/27,DET,SDP,5,2
3/27,CLE,SEA,1,5
3/27,ARI,LAD,4,5
3/28,TBR,STL,5,6
3/28,WSN,CHC,2,10
3/28,ATH,TOR,7,8
3/28,MIN,BAL,4,1
3/28,TEX,PHI,5,4
3/28,BOS,CIN,5,6
3/28,PIT,NYM,2,4
3/28,COL,MIA,3,4
3/28,LAA,HOU,9,11
3/28,CHW,MIL,1,6
3/28,KCR,ATL,2,6
3/28,NYY,SFG,3,1
3/28,DET,SDP,0,3
3/28,ARI,LAD,2,3
3/28,CLE,SEA,6,5
3/29,MIN,BAL,6,8
3/29,TEX,PHI,8,3
3/29,KCR,ATL,4,1
3/29,ATH,TOR,2,5
3/29,BOS,CIN,2,3
3/29,PIT,NYM,4,3
3/29,COL,MIA,3,4
3/29,LAA,HOU,7,9
3/29,CHW,MIL,7,9
3/29,TBR,STL,11,7
3/29,WSN,CHC,6,3
3/29,CLE,SEA,0,8
3/30,MIN,KCR,1,3
3/30,TEX,BAL,5,2
3/30,PIT,CIN,0,2
3/30,WSN,PHI,13,2
3/30,CHW,MIA,9,4
3/30,COL,TOR,14,5
3/30,ATH,ATL,0,4
3/30,LAA,CHC,2,7
3/30,TBR,MIL,3,2
3/30,NYM,STL,4,2
3/30,BOS,HOU,1,8
3/30,SFG,SDP,3,2
3/30,NYY,SEA,1,2
3/30,DET,ARI,6,9
3/30,CLE,LAD,4,2
3/31,TEX,BAL,8,5
3/31,PIT,CIN,8,3
3/31,WSN,PHI,2,3
3/31,CHW,MIA,2,9
3/31,COL,TOR,1,5
3/31,ATH,ATL,5,2
3/31,LAA,CHC,2,0
3/31,TBR,MIL,2,6
3/31,NYM,STL,0,3
3/31,BOS,HOU,2,9
3/31,DET,ARI,5,7
3/31,SFG,SDP,9,3
3/31,NYY,SEA,5,0
3/31,CLE,LAD,1,4
4/1,ATH,ATL,1,5
4/1,TEX,BAL,3,8
4/1,PIT,CIN,8,3
4/1,WSN,PHI,5,6
4/1,COL,TOR,2,1
4/1,CHW,MIA,0,10
4/1,NYM,STL,1,2
4/1,TBR,MIL,2,8
4/1,BOS,HOU,4,6
4/1,LAA,CHC,2,6
4/1,DET,ARI,0,1
4/1,SFG,SDP,1,7
4/1,NYY,SEA,5,3
4/1,MIN,KCR,9,13
4/1,CLE,LAD,4,1
4/2,MIN,KCR,5,1
4/2,ATL,ARI,17,2
4/2,NYM,SFG,2,7
4/3,LAD,WSN,13,6
4/3,STL,DET,0,4
4/3,MIA,NYY,2,8
4/3,SDP,BOS,2,5
4/3,TOR,CHW,4,5
4/3,CIN,TEX,5,3
